Trait,Unique,Calm,Simple,Meaningful_Value,Brand,Efficiency,Entertainment,Rest,Eco_Cert,Texture_Softness,Texture_Smoothness,Glossiness,Color_Saturation,Color_Brightness,Color_Temperature,Pref_Elegant,Pref_Cute,Pref_Modern,Pref_Luxurious,Pref_Warm,Pref_Vivid,Pref_Sharp
Openness,0.36,-0.32,-0.07,0.36,-0.26,-0.2,0.01,-0.01,-0.03,0.01,0.02,-0.03,0.13,-0.13,0.14,0.09,0.3,0.04,0.14,0.19,-0.03,-0.03
Conscientiousness,-0.12,0.42,0.4,0.09,-0.04,-0.41,-0.56,-0.3,0.2,-0.3,0.09,-0.11,-0.06,-0.07,0.12,0.01,-0.03,0,-0.16,0.1,-0.11,-0.2
Extraversion,0.15,-0.27,-0.08,0.05,0.22,0.04,-0.05,-0.12,-0.03,0.05,0.05,0.12,0.12,-0.07,-0.01,0.25,0.23,0.16,0.35,0.32,0.36,0.24
Agreeableness,0.15,-0.16,-0.15,0.08,0.01,0.19,0.03,0.08,0.34,-0.25,0.08,0.14,0.32,0.16,0.22,0.18,0.53,0.2,0.31,0.51,0.25,-0.11
Neuroticism,0.2,-0.22,-0.09,0.51,0.14,-0.11,-0.15,0.03,0.18,-0.32,0.06,-0.2,0.11,-0.09,0.15,0.13,0.16,-0.03,0.02,0.12,0.14,0.13
CNFU,0.48,-0.03,0.14,0.44,0.25,-0.25,-0.01,0.07,0.12,-0.15,-0.01,-0.22,-0.1,0.1,0.09,0.21,0.09,0.06,0.21,0.18,0.07,0.09
OSL,-0.05,-0.09,-0.08,-0.14,0.13,0.14,0.06,-0.05,-0.05,0.19,-0.15,0.02,0.12,0.01,0.36,-0.11,0.05,-0.04,-0.07,-0.11,0.01,-0.03
MVS,-0.03,0.25,0.22,-0.01,0.5,-0.1,-0.29,-0.03,0.26,-0.2,0.04,0.16,-0.25,0.01,0.12,0.09,0,0.2,0.19,0.14,-0.16,-0.19
CVPA,0.18,-0.15,-0.07,0.37,0.44,-0.03,-0.06,0.16,0.15,-0.13,0.05,0.02,0.18,-0.03,0.11,0.33,0.05,-0.13,0.21,0.08,0.02,0.22
Elegant,-0.17,0.16,0.18,0.06,-0.02,-0.25,-0.19,-0.23,-0.19,-0.05,0.09,0.07,-0.02,-0.06,-0.05,0.11,-0.18,-0.13,0.03,-0.13,-0.42,-0.17
Cute,-0.19,0.1,-0.04,0.21,0.09,0.05,0.03,-0.02,0.18,-0.15,0.09,0.01,0.14,0.32,0.17,0.23,0.25,-0.25,0.06,0.27,0.07,0.05
Modern,0,-0.16,-0.11,-0.15,-0.27,0.06,0.15,0.06,-0.02,0.27,-0.32,-0.17,-0.27,-0.29,-0.06,-0.2,-0.12,0.26,-0.18,-0.18,0.12,0.05
Luxurious,0.05,-0.16,-0.04,-0.21,0.28,0.08,-0.07,0.15,0.11,0.01,0.08,-0.01,-0.18,-0.08,-0.2,0.06,-0.03,0.21,0.32,-0.01,0.23,0.31
Warm,0.08,0.05,-0.24,0.24,-0.28,-0.02,0.18,-0.08,-0.25,0,-0.11,-0.05,0.29,0.01,0.07,-0.13,0.2,-0.26,-0.28,0.16,-0.29,-0.24
Vivid,0.21,-0.14,0.19,-0.12,0.31,0.04,-0.07,0.28,0.19,-0.04,0.22,0.24,0,0.03,0.07,0.03,-0.04,0.24,0.14,-0.03,0.33,0.21
Sharp,0.1,0.13,0.17,-0.1,0.06,0.18,-0.05,0.16,-0.12,0.08,0.01,0.02,0.14,-0.02,-0.06,-0.15,0.01,0.04,-0.18,0.12,-0.14,-0.01
